,Date1,Facility,year,month,week
0,2020-07-09,10,2020,7,28
1,2020-07-10,11,2020,7,28
2,2020-07-13,13,2020,7,29
3,2020-07-14,12,2020,7,29
4,2020-07-15,7,2020,7,29
5,2020-07-16,8,2020,7,29
6,2020-07-17,5,2020,7,29
7,2020-07-20,10,2020,7,30
8,2020-07-21,6,2020,7,30
9,2020-07-22,8,2020,7,30
10,2020-07-23,10,2020,7,30
11,2020-07-24,8,2020,7,30
12,2020-07-27,8,2020,7,31
13,2020-07-28,5,2020,7,31
14,2020-07-29,5,2020,7,31
15,2020-07-30,10,2020,7,31
16,2020-07-31,6,2020,7,31
17,2020-08-03,4,2020,8,32
18,2020-08-04,8,2020,8,32
19,2020-08-05,2,2020,8,32
20,2020-08-06,4,2020,8,32
21,2020-08-07,4,2020,8,32
22,2020-08-10,7,2020,8,33
23,2020-08-11,3,2020,8,33
24,2020-08-12,4,2020,8,33
25,2020-08-13,7,2020,8,33
26,2020-08-14,1,2020,8,33
27,2020-08-15,1,2020,8,33
28,2020-08-17,8,2020,8,34
29,2020-08-18,3,2020,8,34
30,2020-08-19,4,2020,8,34
31,2020-08-20,5,2020,8,34
32,2020-08-21,2,2020,8,34
33,2020-08-24,6,2020,8,35
34,2020-08-25,12,2020,8,35
35,2020-08-26,5,2020,8,35
36,2020-08-27,10,2020,8,35
37,2020-08-28,8,2020,8,35
38,2020-08-31,4,2020,8,36
39,2020-09-01,6,2020,9,36
40,2020-09-02,5,2020,9,36
41,2020-09-03,16,2020,9,36
42,2020-09-04,3,2020,9,36
43,2020-09-08,4,2020,9,37
44,2020-09-09,10,2020,9,37
45,2020-09-10,6,2020,9,37
46,2020-09-11,4,2020,9,37
47,2020-09-14,5,2020,9,38
48,2020-09-15,6,2020,9,38
49,2020-09-17,1,2020,9,38
50,2020-09-18,2,2020,9,38
51,2020-09-21,1,2020,9,39
52,2020-09-22,3,2020,9,39
53,2020-09-23,8,2020,9,39
54,2020-09-24,5,2020,9,39
55,2020-09-25,1,2020,9,39
56,2020-09-28,8,2020,9,40
57,2020-09-29,5,2020,9,40
58,2020-09-30,6,2020,9,40
59,2020-10-01,12,2020,10,40
60,2020-10-02,11,2020,10,40
61,2020-10-05,12,2020,10,41
62,2020-10-06,10,2020,10,41
63,2020-10-07,1,2020,10,41
64,2020-10-08,9,2020,10,41
65,2020-10-09,2,2020,10,41
66,2020-10-12,3,2020,10,42
67,2020-10-13,5,2020,10,42
68,2020-10-14,11,2020,10,42
69,2020-10-15,6,2020,10,42
70,2020-10-16,7,2020,10,42
71,2020-10-19,9,2020,10,43
72,2020-10-20,10,2020,10,43
73,2020-10-21,11,2020,10,43
74,2020-10-22,31,2020,10,43
75,2020-10-23,10,2020,10,43
76,2020-10-26,11,2020,10,44
77,2020-10-27,13,2020,10,44
78,2020-10-28,27,2020,10,44
79,2020-10-29,12,2020,10,44
80,2020-10-30,9,2020,10,44
81,2020-11-02,12,2020,11,45
82,2020-11-03,10,2020,11,45
83,2020-11-04,12,2020,11,45
84,2020-11-05,10,2020,11,45
85,2020-11-06,6,2020,11,45
86,2020-11-09,13,2020,11,46
87,2020-11-12,15,2020,11,46
88,2020-11-13,6,2020,11,46
89,2020-11-16,15,2020,11,47
90,2020-11-17,12,2020,11,47
91,2020-11-18,13,2020,11,47
92,2020-11-19,7,2020,11,47
93,2020-11-20,14,2020,11,47
94,2020-11-23,25,2020,11,48
95,2020-11-24,10,2020,11,48
96,2020-11-25,11,2020,11,48
97,2020-11-30,12,2020,11,49
98,2020-12-01,14,2020,12,49
99,2020-12-02,22,2020,12,49
100,2020-12-03,13,2020,12,49
101,2020-12-04,12,2020,12,49
102,2020-12-07,20,2020,12,50
103,2020-12-08,17,2020,12,50
104,2020-12-09,17,2020,12,50
105,2020-12-10,14,2020,12,50
106,2020-12-11,15,2020,12,50
107,2020-12-14,22,2020,12,51
108,2020-12-15,18,2020,12,51
109,2020-12-16,16,2020,12,51
110,2020-12-17,12,2020,12,51
111,2020-12-18,8,2020,12,51
112,2020-12-21,22,2020,12,52
113,2020-12-22,23,2020,12,52
114,2020-12-23,16,2020,12,52
115,2020-12-24,6,2020,12,52
116,2020-12-28,10,2020,12,53
117,2020-12-29,18,2020,12,53
118,2020-12-30,20,2020,12,53
119,2020-12-31,13,2020,12,53
120,2021-01-04,1,2021,1,53
121,2021-01-05,29,2021,1,53
122,2021-01-06,26,2021,1,53
123,2021-01-07,20,2021,1,53
124,2021-01-08,15,2021,1,53
125,2021-01-11,14,2021,1,54
126,2021-01-12,12,2021,1,54
127,2021-01-13,10,2021,1,54
128,2021-01-14,17,2021,1,54
129,2021-01-15,11,2021,1,54
130,2021-01-19,27,2021,1,55
